,country,GA_FA,revision_id,article_quality,page,Population mid-2018 (millions),frequency,articles-per-population-percentage,high-quality-percentage
23277,Mexico,9,757216871,Stub,María Fernanda Romero Lozano,130.8,1077,0.000823394495412844,0.8356545961002786
23278,Mexico,9,757216873,Stub,María Fernanda Schroeder,130.8,1077,0.000823394495412844,0.8356545961002786
23279,Mexico,9,757216876,Stub,María Fernández Ugarte,130.8,1077,0.000823394495412844,0.8356545961002786
23280,Mexico,9,757216877,Stub,María Gabriela Banda,130.8,1077,0.000823394495412844,0.8356545961002786
23281,Mexico,9,757216880,Stub,María Gabriela González Martínez,130.8,1077,0.000823394495412844,0.8356545961002786
23282,Mexico,9,757216881,Stub,María García Olmedo,130.8,1077,0.000823394495412844,0.8356545961002786
23283,Mexico,9,757216884,Stub,María García Quiroz,130.8,1077,0.000823394495412844,0.8356545961002786
23284,Mexico,9,757216886,Stub,María García Romero,130.8,1077,0.000823394495412844,0.8356545961002786
23285,Mexico,9,757216888,Stub,María González Alvarado,130.8,1077,0.000823394495412844,0.8356545961002786
23286,Mexico,9,757216890,Stub,María Guadalupe Moctezuma,130.8,1077,0.000823394495412844,0.8356545961002786
23287,Mexico,9,757216891,Stub,María Guadalupe Mondragón,130.8,1077,0.000823394495412844,0.8356545961002786
23288,Mexico,9,757216895,Stub,María Guadalupe Romero Castillo,130.8,1077,0.000823394495412844,0.8356545961002786
23289,Mexico,9,757216897,Stub,María Guadalupe Salazar,130.8,1077,0.000823394495412844,0.8356545961002786
23290,Mexico,9,757216899,Stub,María Guadalupe Sánchez Santiago,130.8,1077,0.000823394495412844,0.8356545961002786
23291,Mexico,9,757216903,Stub,María Guadalupe Velázquez Díaz,130.8,1077,0.000823394495412844,0.8356545961002786
23292,Mexico,9,757216907,Stub,María Guzmán Lozano,130.8,1077,0.000823394495412844,0.8356545961002786
23293,Mexico,9,757216909,Stub,María Gómez Villalovos,130.8,1077,0.000823394495412844,0.8356545961002786
23294,Mexico,9,757216911,Stub,María Hilaria Domínguez,130.8,1077,0.000823394495412844,0.8356545961002786
23295,Mexico,9,757216912,Start,María Isabel Maya Pineda,130.8,1077,0.000823394495412844,0.8356545961002786
23296,Mexico,9,757216914,Stub,María Isabel Merlo Talavera,130.8,1077,0.000823394495412844,0.8356545961002786
23297,Mexico,9,757216919,Stub,María Isabel Pérez Santos,130.8,1077,0.000823394495412844,0.8356545961002786
23298,Mexico,9,757216920,Stub,María Isabel Reyes García,130.8,1077,0.000823394495412844,0.8356545961002786
23299,Mexico,9,757216923,Stub,María Izaguirre Francos,130.8,1077,0.000823394495412844,0.8356545961002786
23300,Mexico,9,757216926,Stub,María Jiménez del Castillo,130.8,1077,0.000823394495412844,0.8356545961002786
23301,Mexico,9,757216928,Stub,María Leticia Jasso,130.8,1077,0.000823394495412844,0.8356545961002786
23302,Mexico,9,757216930,Stub,María Leticia Mendoza Curiel,130.8,1077,0.000823394495412844,0.8356545961002786
23303,Mexico,9,757216931,Stub,María Lucero Saldaña,130.8,1077,0.000823394495412844,0.8356545961002786
23304,Mexico,9,757216933,Stub,María Martínez Santillán,130.8,1077,0.000823394495412844,0.8356545961002786
23305,Mexico,9,757216938,Stub,María Mendoza Sánchez,130.8,1077,0.000823394495412844,0.8356545961002786
23306,Mexico,9,757216944,Stub,María Pariente Gavito,130.8,1077,0.000823394495412844,0.8356545961002786
23307,Mexico,9,757216945,Stub,María Parra Becerra,130.8,1077,0.000823394495412844,0.8356545961002786
23308,Mexico,9,757216947,Stub,María Patricia Franco Cruz,130.8,1077,0.000823394495412844,0.8356545961002786
23309,Mexico,9,757216948,Stub,María Pineda Gochi,130.8,1077,0.000823394495412844,0.8356545961002786
23310,Mexico,9,757216952,Stub,María Ramírez Diez,130.8,1077,0.000823394495412844,0.8356545961002786
23311,Mexico,9,757216953,Stub,María Reynoso Femat,130.8,1077,0.000823394495412844,0.8356545961002786
23312,Mexico,9,757216956,Stub,María Rodríguez Preciado,130.8,1077,0.000823394495412844,0.8356545961002786
23313,Mexico,9,757216968,Stub,María Serrano Serrano,130.8,1077,0.000823394495412844,0.8356545961002786
23314,Mexico,9,757216972,Stub,María Teodora Arrieta,130.8,1077,0.000823394495412844,0.8356545961002786
23315,Mexico,9,757216980,Stub,María Teresa Ochoa Mejía,130.8,1077,0.000823394495412844,0.8356545961002786
23316,Mexico,9,757216984,Stub,María Teresa Álvarez Vázquez,130.8,1077,0.000823394495412844,0.8356545961002786
23317,Mexico,9,757216987,Stub,María Torre Canales,130.8,1077,0.000823394495412844,0.8356545961002786
23318,Mexico,9,757216990,Stub,María Urciel Castañeda,130.8,1077,0.000823394495412844,0.8356545961002786
23319,Mexico,9,757216991,Stub,María Verónica Martínez Espinoza,130.8,1077,0.000823394495412844,0.8356545961002786
23320,Mexico,9,757216994,Stub,María Victoria Gutiérrez Lagunes,130.8,1077,0.000823394495412844,0.8356545961002786
23321,Mexico,9,757216997,Stub,María Villaseñor Vargas,130.8,1077,0.000823394495412844,0.8356545961002786
23322,Mexico,9,757216998,Stub,María Yolanda Valencia Vales,130.8,1077,0.000823394495412844,0.8356545961002786
23323,Mexico,9,757217002,Stub,María de Jesús Huerta,130.8,1077,0.000823394495412844,0.8356545961002786
23324,Mexico,9,757217005,Stub,María de Lourdes Amaya,130.8,1077,0.000823394495412844,0.8356545961002786
23325,Mexico,9,757217007,Stub,María de las Nieves García,130.8,1077,0.000823394495412844,0.8356545961002786
23326,Mexico,9,757217009,Start,María de los Ángeles Moreno,130.8,1077,0.000823394495412844,0.8356545961002786
23327,Mexico,9,757217016,Stub,María del Carmen Ordaz,130.8,1077,0.000823394495412844,0.8356545961002786
23328,Mexico,9,757217018,Stub,María del Carmen Parra Jiménez,130.8,1077,0.000823394495412844,0.8356545961002786
23329,Mexico,9,757217026,Stub,María del Carmen Ramírez,130.8,1077,0.000823394495412844,0.8356545961002786
23330,Mexico,9,757217028,Stub,María del Carmen Salvatori Bronca,130.8,1077,0.000823394495412844,0.8356545961002786
23331,Mexico,9,757217029,Stub,María del Rosario Merlín,130.8,1077,0.000823394495412844,0.8356545961002786
23332,Mexico,9,757217032,Start,María Ávila Serna,130.8,1077,0.000823394495412844,0.8356545961002786
23333,Mexico,9,757217039,Stub,Mayra Gisela Peñuelas Acuña,130.8,1077,0.000823394495412844,0.8356545961002786
23334,Mexico,9,757217040,Stub,Mayra Karina Robles Aguirre,130.8,1077,0.000823394495412844,0.8356545961002786
23335,Mexico,9,757217041,Stub,Mayra Valdés González,130.8,1077,0.000823394495412844,0.8356545961002786
23336,Mexico,9,757217042,Stub,Mely Romero Celis,130.8,1077,0.000823394495412844,0.8356545961002786
23337,Mexico,9,757217051,Stub,Mercedes Guillén Vicente,130.8,1077,0.000823394495412844,0.8356545961002786
23338,Mexico,9,757217054,Stub,Mercedes Morales Utrera,130.8,1077,0.000823394495412844,0.8356545961002786
23339,Mexico,9,757217059,Stub,Merilyn Gómez Pozos,130.8,1077,0.000823394495412844,0.8356545961002786
23340,Mexico,9,757217064,Stub,Micaela Aguilar González,130.8,1077,0.000823394495412844,0.8356545961002786
23341,Mexico,9,757217070,Start,Minerva Hernández Ramos,130.8,1077,0.000823394495412844,0.8356545961002786
23342,Mexico,9,757217072,Stub,Miriam Cárdenas Cantú,130.8,1077,0.000823394495412844,0.8356545961002786
23343,Mexico,9,757217073,Stub,Miriam Cárdenas de la Torre,130.8,1077,0.000823394495412844,0.8356545961002786
23344,Mexico,9,757217074,Stub,Mirna Camacho Pedrero,130.8,1077,0.000823394495412844,0.8356545961002786
